Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - Privacera,https://www.crunchbase.com/funding_round/privacera-series-a--65c1ed80,"San Francisco, California, United States, North America",Privacera,https://www.crunchbase.com/organization/privacera,Series A,13500000,USD,13500000,2020-07-15,"Big Data, Cloud Security, Compliance, Cyber Security, Data Governance, SaaS",Accel
Series A - AuthenTec,https://www.crunchbase.com/funding_round/authentec-series-a--475abe86,"Melbourne Beach, Florida, United States, North America",AuthenTec,https://www.crunchbase.com/organization/authentec,Series A,13500000,USD,13500000,1999-12-01,"Biometrics, Cyber Security, Identity Management, Mobile, NFC, Security, Semiconductor, Sensor",
Series A - Strike,https://www.crunchbase.com/funding_round/strike-8f4c-series-a--e5ebd2e9,"Miami, Florida, United States, North America",Strike,https://www.crunchbase.com/organization/strike-8f4c,Series A,13600000,USD,13600000,2025-03-26,"Artificial Intelligence (AI), Cyber Security, Network Security, Penetration Testing",FinTech Collective
Series A - TrueFort,https://www.crunchbase.com/funding_round/truefort-series-a--023f9fad,"Weehawken, New Jersey, United States, North America",TrueFort,https://www.crunchbase.com/organization/truefort,Series A,13700000,USD,13700000,2019-06-20,"Cloud Security, Cyber Security, Software",Evolution Equity Partners
Series A - CrowdSec,https://www.crunchbase.com/funding_round/crowdsec-series-a--6df72648,"Montrouge, Ile-de-France, France, Europe",CrowdSec,https://www.crunchbase.com/organization/crowdsec,Series A,14000000,EUR,13705013,2022-10-06,"Cloud Security, Cyber Security, Network Security, Open Source","BREEGA, Supernova Invest"
Series A - Baobab,https://www.crunchbase.com/funding_round/baobab-15b3-series-a--ad3503ed,"Berlin, Berlin, Germany, Europe",Baobab,https://www.crunchbase.com/organization/baobab-15b3,Series A,12000000,EUR,13705326,2025-06-04,"Cyber Security, Insurance","eCAPITAL ENTREPRENEURIAL PARTNERS, Viola FinTech"
Series A - Saibo Kunlun,https://www.crunchbase.com/funding_round/saibo-kunlun-series-a--bc57e707,"Beijing, Beijing, China, Asia",Saibo Kunlun,https://www.crunchbase.com/organization/saibo-kunlun,Series A,100000000,CNY,13810629,2023-07-03,"Cloud Security, Cyber Security, Network Security",Fortune Venture Capital
Series A - Build38,https://www.crunchbase.com/funding_round/build38-series-a--c813f1fd,"Munich, Bayern, Germany, Europe",Build38,https://www.crunchbase.com/organization/build38,Series A,13000000,EUR,13950219,2023-02-07,"Artificial Intelligence (AI), Cyber Security, Mobile Apps, Mobile Payments, Security",Tikehau Capital
Series A - Feroot Security,https://www.crunchbase.com/funding_round/feroot-series-a--16f275ed,"Toronto, Ontario, Canada, North America",Feroot Security,https://www.crunchbase.com/organization/feroot,Series A,14000000,USD,14000000,2025-11-18,"Cyber Security, Enterprise Software, Privacy, SaaS","Preface Ventures, True Ventures"
Series A - Dreadnode,https://www.crunchbase.com/funding_round/dreadnode-series-a--aad8ea29,"Bozeman, Montana, United States, North America",Dreadnode,https://www.crunchbase.com/organization/dreadnode,Series A,14000000,USD,14000000,2025-02-25,"Artificial Intelligence (AI), Cyber Security, Network Security",Decibel Partners
Series A - SentiLink,https://www.crunchbase.com/funding_round/sentilink-series-a--35dcc9df,"San Francisco, California, United States, North America",SentiLink,https://www.crunchbase.com/organization/sentilink,Series A,14000000,USD,14000000,2019-03-26,"Cyber Security, Fraud Detection, Identity Management, Information Technology, Network Security",Andreessen Horowitz
Series A - VanishID,https://www.crunchbase.com/funding_round/picnic-2421-series-a--dacb49eb,"Washington, District of Columbia, United States, North America",VanishID,https://www.crunchbase.com/organization/picnic-2421,Series A,14000000,USD,14000000,2022-02-23,"Cyber Security, Network Security, Software","Crosslink Capital, Energy Impact Partners, Rally Ventures"
Series A - Sqreen,https://www.crunchbase.com/funding_round/sqreen-series-a--2d273c53,"San Francisco, California, United States, North America",Sqreen,https://www.crunchbase.com/organization/sqreen,Series A,14000000,USD,14000000,2019-04-02,"Cyber Security, Developer Tools, SaaS, Software",Greylock
