Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Industries,Lead Investors
Series A - PeakMetrics,https://www.crunchbase.com/funding_round/peakmetrics-series-a--c7c4c65f,"Los Angeles, California, United States, North America",PeakMetrics,https://www.crunchbase.com/organization/peakmetrics,Series A,6000000,USD,6000000,2026-04-09,"Cyber Security, Machine Learning, Marketing Automation, Natural Language Processing, Software, Text Analytics",Moneta Ventures
Series A - Hubbl Diagnostics,https://www.crunchbase.com/funding_round/hubbl-diagnostics-series-a--6f230c21,"Vancouver, British Columbia, Canada, North America",Hubbl Diagnostics,https://www.crunchbase.com/organization/hubbl-diagnostics,Series A,6000000,USD,6000000,2026-02-09,"Analytics, Cyber Security, Software",Salesforce Ventures
Series A - RIIG,https://www.crunchbase.com/funding_round/riig-8f1c-series-a--c6eb1545,"Charlottesville, Virginia, United States, North America",RIIG,https://www.crunchbase.com/organization/riig-8f1c,Series A,6000000,USD,6000000,2026-04-21,"Artificial Intelligence (AI), Cyber Security, Data Integration, Information Technology, Risk Management",
Series A - Oloid,https://www.crunchbase.com/funding_round/oloid-ai-series-a--716f39bc,"Sunnyvale, California, United States, North America",Oloid,https://www.crunchbase.com/organization/oloid-ai,Series A,6000000,USD,6000000,2024-10-24,"Biometrics, Cyber Security, Identity Management, SaaS, Software","Carya Venture Partners, Exposition Ventures, George Kaiser Family Foundation, Yaletown Partners"
Series A - Shape Security,https://www.crunchbase.com/funding_round/shape-security-series-a--1cf22cb3,"Santa Clara, California, United States, North America",Shape Security,https://www.crunchbase.com/organization/shape-security,Series A,6000000,USD,6000000,2012-04-26,"Cyber Security, Information Technology, Network Security, Security","Kleiner Perkins, TomorrowVentures"
Series A - CryptoMove,https://www.crunchbase.com/funding_round/cryptomove-series-a--4412364d,"Oakland, California, United States, North America",CryptoMove,https://www.crunchbase.com/organization/cryptomove,Series A,6000000,USD,6000000,2018-02-12,"Blockchain, Cloud Security, Cyber Security, Database, Data Storage, Enterprise Software, Internet of Things, Security, Software",Social Capital
Series A - Demisto,https://www.crunchbase.com/funding_round/demisto-series-a--588fc884,"Cupertino, California, United States, North America",Demisto,https://www.crunchbase.com/organization/demisto,Series A,6000000,USD,6000000,2016-05-25,"Cyber Security, Developer Platform, Internet, Security",Accel
Series A - Arkose Labs,https://www.crunchbase.com/funding_round/arkoselabs-series-a--37260e23,"San Mateo, California, United States, North America",Arkose Labs,https://www.crunchbase.com/organization/arkoselabs,Series A,6000000,USD,6000000,2018-09-05,"Cyber Security, FinTech, Fraud Detection, Network Security, Security, Spam Filtering",U.S. Venture Partners
Series A - CenterBoard,https://www.crunchbase.com/funding_round/centerboard-series-a--e48ab299,"Pleasanton, California, United States, North America",CenterBoard,https://www.crunchbase.com/organization/centerboard,Series A,6000000,USD,6000000,2003-11-12,Cyber Security,N47
Series A - Inky,https://www.crunchbase.com/funding_round/arcode-series-a--064ae1a2,"College Park, Maryland, United States, North America",Inky,https://www.crunchbase.com/organization/arcode,Series A,6000000,USD,6000000,2019-11-14,"Artificial Intelligence (AI), Cyber Security, Email, SaaS","ClearSky, Gula Tech Adventures"
Series A - Seclore,https://www.crunchbase.com/funding_round/seclore-series-a--44192507,"Santa Clara, California, United States, North America",Seclore,https://www.crunchbase.com/organization/seclore,Series A,6000000,USD,6000000,2013-04-24,"Cyber Security, Information Services, Information Technology, Infrastructure, Security, Software","Helion Venture Partners, VenturEast"
Series A - Carbon Black,https://www.crunchbase.com/funding_round/bit9-series-a--d942fe46,"Waltham, Massachusetts, United States, North America",Carbon Black,https://www.crunchbase.com/organization/bit9,Series A,6000000,USD,6000000,2005-09-20,"Cyber Security, Homeland Security, Physical Security, Security","Atlas Venture, Highland Capital Partners"
Series A - Avathon,https://www.crunchbase.com/funding_round/sparkcognition-series-a--985f8375,"Pleasanton, California, United States, North America",Avathon,https://www.crunchbase.com/organization/sparkcognition,Series A,6000000,USD,6000000,2016-04-26,"Analytics, Artificial Intelligence (AI), Cyber Security, Machine Learning, Software","CME Ventures, Verizon Ventures"
Series A - Barkly,https://www.crunchbase.com/funding_round/cylent-systems-series-a--7d9ddc96,"Boston, Massachusetts, United States, North America",Barkly,https://www.crunchbase.com/organization/cylent-systems,Series A,6000000,USD,6000000,2017-01-19,"Cyber Security, Network Security, Security",New Enterprise Associates
Series A - Adlumin,https://www.crunchbase.com/funding_round/adlumin-inc-series-a--75fe53af,"Burlington, Massachusetts, United States, North America",Adlumin,https://www.crunchbase.com/organization/adlumin-inc,Series A,6000000,USD,6000000,2020-09-28,"Cyber Security, Enterprise Software, Information Technology, Network Security, SaaS",Leawood Venture Capital
Series A - Nantero,https://www.crunchbase.com/funding_round/nantero-series-a--013b097f,"Woburn, Massachusetts, United States, North America",Nantero,https://www.crunchbase.com/organization/nantero,Series A,6000000,USD,6000000,2001-10-01,"Computer, Cyber Security, Hardware, Manufacturing, Nanotechnology, Semiconductor, Software",Stata Venture Partners (SVP)
Series A - Bugcrowd,https://www.crunchbase.com/funding_round/bugcrowd-series-a--ac944f41,"San Francisco, California, United States, North America",Bugcrowd,https://www.crunchbase.com/organization/bugcrowd,Series A,6000000,USD,6000000,2015-03-11,"Crowdsourcing, Cyber Security, Penetration Testing, Security",Costanoa Ventures
Series A - Threater,https://www.crunchbase.com/funding_round/ThreatBlockr-series-a--304bb55f,"Washington, District of Columbia, United States, North America",Threater,https://www.crunchbase.com/organization/ThreatBlockr,Series A,6000000,USD,6000000,2019-02-20,"Cyber Security, Software",Tenfore Holdings
Series A - CogniFiber,https://www.crunchbase.com/funding_round/cognifiber-series-a--211a0e9f,"Rosh Ha'ayin, HaMerkaz, Israel, Asia",CogniFiber,https://www.crunchbase.com/organization/cognifiber,Series A,6000000,USD,6000000,2022-02-09,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Cyber Security, Fraud Detection, Internet of Things, Predictive Analytics",Chartered Group
Series A - Nisos,https://www.crunchbase.com/funding_round/nisos-series-a--7e73f293,"Arlington, Virginia, United States, North America",Nisos,https://www.crunchbase.com/organization/nisos,Series A,6000000,USD,6000000,2019-01-28,"Cyber Security, Information Technology, Network Security, Security",Columbia Capital
Series A - NETSCOUT Systems,https://www.crunchbase.com/funding_round/netscout-systems-series-a--890649cd,"Westford, Massachusetts, United States, North America",NETSCOUT Systems,https://www.crunchbase.com/organization/netscout-systems,Series A,6000000,USD,6000000,1996-02-01,"Cyber Security, Network Security, Virtualization",Greylock
Series A - Terbium Labs,https://www.crunchbase.com/funding_round/terbium-labs-series-a--7158ff39,"Baltimore, Maryland, United States, North America",Terbium Labs,https://www.crunchbase.com/organization/terbium-labs,Series A,6000000,USD,6000000,2017-11-29,"Computer, Cyber Security, Network Security",Glasswing Ventures
Series A - CoWare,https://www.crunchbase.com/funding_round/coware-series-a--9b53e6fe,"San Jose, California, United States, North America",CoWare,https://www.crunchbase.com/organization/coware,Series A,6000000,USD,6000000,1997-04-01,"Artificial Intelligence (AI), Cloud Data Services, Computer, Consulting, Cyber Security, Machine Learning, Software",Greylock
Series A - Envelop Risk,https://www.crunchbase.com/funding_round/envelop-risk-analytics-series-a--5bdd380f,"Bristol, Bristol, United Kingdom, Europe",Envelop Risk,https://www.crunchbase.com/organization/envelop-risk-analytics,Series A,6000000,USD,6000000,2020-05-14,"Artificial Intelligence (AI), Cyber Security, Information Technology",Alpha Intelligence Capital
Series A - Blue Hexagon,https://www.crunchbase.com/funding_round/blue-hexagon-series-a--4eea3c53,"San Francisco, California, United States, North America",Blue Hexagon,https://www.crunchbase.com/organization/blue-hexagon,Series A,6000000,USD,6000000,2017-10-13,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Software",Benchmark
Series A - Stamus Networks,https://www.crunchbase.com/funding_round/stamus-networks-series-a--a503703c,"Indianapolis, Indiana, United States, North America",Stamus Networks,https://www.crunchbase.com/organization/stamus-networks,Series A,6000000,USD,6000000,2023-08-08,"Big Data, Cyber Security, Information Technology, Intrusion Detection, Network Security",First Analysis
Series A - D-Fend Solutions,https://www.crunchbase.com/funding_round/d-fend-solutions-series-a--9f07fb3d,"Ra'anana, HaMerkaz, Israel, Asia",D-Fend Solutions,https://www.crunchbase.com/organization/d-fend-solutions,Series A,6000000,USD,6000000,2018-05-23,"Cyber Security, Drone Management, Drones, Law Enforcement, National Security, Security",
Series A - Sumsub,https://www.crunchbase.com/funding_round/sum-substance-series-a--a077cb70,"Limassol, Limassol, Cyprus, Europe",Sumsub,https://www.crunchbase.com/organization/sum-substance,Series A,6000000,USD,6000000,2019-12-08,"Compliance, Computer Vision, Cyber Security, Finance, Financial Services, FinTech, Fraud Detection, Identity Management, Information Technology, Transportation",
Series A - Secret Double Octopus,https://www.crunchbase.com/funding_round/secret-double-octopus-series-a--95cb1fc4,"Tel Aviv, Tel Aviv, Israel, Asia",Secret Double Octopus,https://www.crunchbase.com/organization/secret-double-octopus,Series A,6000000,USD,6000000,2017-01-24,"Computer, Cyber Security, Identity Management, Internet of Things, Software",
Series A - Baffle,https://www.crunchbase.com/funding_round/baffle-series-a--717e643f,"Santa Clara, California, United States, North America",Baffle,https://www.crunchbase.com/organization/baffle,Series A,6000000,USD,6000000,2019-08-09,"Analytics, Artificial Intelligence (AI), Cloud Security, Cyber Security, Enterprise Applications, Machine Learning, Privacy, SaaS, Security, Software",
Series A - CyberArk,https://www.crunchbase.com/funding_round/cyber-ark-software-series-a--2e9bfda0,"Newton, Massachusetts, United States, North America",CyberArk,https://www.crunchbase.com/organization/cyber-ark-software,Series A,6000000,USD,6000000,2000-07-01,"Cloud Security, Cyber Security, Identity Management, Security",
Series A - A10 Networks,https://www.crunchbase.com/funding_round/a10-networks-series-a--539dbc26,"San Jose, California, United States, North America",A10 Networks,https://www.crunchbase.com/organization/a10-networks,Series A,6000000,USD,6000000,2005-01-01,"Cloud Computing, Cyber Security, Hardware, Security, SEO, Virtualization, Web Hosting",
Series A - Duo Security,https://www.crunchbase.com/funding_round/duo-security-series-a--dbdc4669,"Ann Arbor, Michigan, United States, North America",Duo Security,https://www.crunchbase.com/organization/duo-security,Series A,6000000,USD,6000000,2012-02-28,"Cloud Security, Cyber Security, Enterprise Software, Identity Management, Network Security, SaaS",
Series A - Evo Security,https://www.crunchbase.com/funding_round/evo-security-series-a--f26ce725,"Austin, Texas, United States, North America",Evo Security,https://www.crunchbase.com/organization/evo-security,Series A,6074998,USD,6074998,2024-05-10,"Cloud Computing, Cyber Security, Information Technology, SaaS, Security",TechOperators Venture Capital
Series A - Monarx,https://www.crunchbase.com/funding_round/monarx-inc-series-a--2bbbf6ca,"Salt Lake City, Utah, United States, North America",Monarx,https://www.crunchbase.com/organization/monarx-inc,Series A,6100000,USD,6100000,2023-02-23,"Cloud Security, CMS, Cyber Security, Network Security, SaaS, Software, Web Hosting",Signal Peak Ventures
Series A - Red Canary,https://www.crunchbase.com/funding_round/red-canary-series-a--6358d6c8,"Denver, Colorado, United States, North America",Red Canary,https://www.crunchbase.com/organization/red-canary,Series A,6100000,USD,6100000,2016-08-02,"Cyber Security, Network Security, Security",
Series A - Detectify,https://www.crunchbase.com/funding_round/detectify-series-a--bd5e6715,"Stockholm, Stockholms Lan, Sweden, Europe",Detectify,https://www.crunchbase.com/organization/detectify,Series A,5000000,EUR,6148133,2018-03-16,"Cloud Infrastructure, Cyber Security, SaaS, Security, Web Apps",Insight Partners
Series A - Datadog,https://www.crunchbase.com/funding_round/datadog-series-a--b54a79d6,"New York, New York, United States, North America",Datadog,https://www.crunchbase.com/organization/datadog,Series A,6200000,USD,6200000,2012-11-21,"Application Performance Management, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cyber Security, Data Management, DevOps, Productivity Tools, SaaS, Usability Testing","Index Ventures, RTP Global"
Series A - GEOSATIS,https://www.crunchbase.com/funding_round/geosatis-series-a--4dc0f204,"Le Noirmont, Jura, Switzerland, Europe",GEOSATIS,https://www.crunchbase.com/organization/geosatis,Series A,6000000,CHF,6228848,2017-07-03,"Cyber Security, Electronics, Embedded Software, Internet of Things, Mobile Apps, Predictive Analytics, Public Safety, Satellite Communication",Laurent Dassault
Series A - Picus,https://www.crunchbase.com/funding_round/picus-security-series-a--0b50acba,"San Francisco, California, United States, North America",Picus,https://www.crunchbase.com/organization/picus-security,Series A,6250000,USD,6250000,2019-10-24,"Cloud Security, Cyber Security, Enterprise Software, Network Security",Earlybird Digital East Fund
Series A - Vidder,https://www.crunchbase.com/funding_round/vidder-series-a--5cbb8c99,"Campbell, California, United States, North America",Vidder,https://www.crunchbase.com/organization/vidder,Series A,6273087,USD,6273087,2009-03-12,"Cyber Security, Network Security, Security",
Series A - GreatHorn,https://www.crunchbase.com/funding_round/greathorn-series-a--2d389971,"Waltham, Massachusetts, United States, North America",GreatHorn,https://www.crunchbase.com/organization/greathorn,Series A,6300000,USD,6300000,2017-06-21,"Cyber Security, Email, Hardware, Internet, Machine Learning, Security, Software",".406 Ventures, Techstars"
Series A - RunSafe Security,https://www.crunchbase.com/funding_round/runsafe-security-inc-series-a--aa8baa42,"Mclean, Virginia, United States, North America",RunSafe Security,https://www.crunchbase.com/organization/runsafe-security-inc,Series A,6300000,USD,6300000,2019-11-30,"Cloud Security, Cyber Security, Network Security, Security, Software",Alsop Louie Partners
Series A - Protego Networks,https://www.crunchbase.com/funding_round/protego-networks-series-a--991f2e1f,"Milpitas, California, United States, North America",Protego Networks,https://www.crunchbase.com/organization/protego-networks,Series A,6300000,USD,6300000,2004-01-16,"Cyber Security, Network Security, Software",Miramar Ventures
Series A - Qohash,https://www.crunchbase.com/funding_round/qohash-inc-series-a--467ac353,"Quebec, Quebec, Canada, North America",Qohash,https://www.crunchbase.com/organization/qohash-inc,Series A,8000000,CAD,6325391,2021-01-14,"Compliance, Cyber Security, Enterprise Software, Security",FINTOP Capital
Series A - EclecticIQ,https://www.crunchbase.com/funding_round/eclecticiq-series-a--3bda7a69,"Amsterdam, Noord-Holland, The Netherlands, Europe",EclecticIQ,https://www.crunchbase.com/organization/eclecticiq,Series A,5500000,EUR,6339955,2016-05-02,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Risk Management, Security, Software",Inkef
Series A - Terbium Labs,https://www.crunchbase.com/funding_round/terbium-labs-series-a--219665ac,"Baltimore, Maryland, United States, North America",Terbium Labs,https://www.crunchbase.com/organization/terbium-labs,Series A,6400000,USD,6400000,2016-02-29,"Computer, Cyber Security, Network Security",.406 Ventures
Series A - Quad Miners,https://www.crunchbase.com/funding_round/quad-miners-series-a--0e1bc350,"Seocho, Seoul-t'ukpyolsi, South Korea, Asia",Quad Miners,https://www.crunchbase.com/organization/quad-miners,Series A,8200000000,KRW,6408603,2022-06-10,"Cyber Security, Information Technology, Software",Partners Investment
Series A - FireEye,https://www.crunchbase.com/funding_round/fireeye-series-a--2df91e6a,"Milpitas, California, United States, North America",FireEye,https://www.crunchbase.com/organization/fireeye,Series A,6450000,USD,6450000,2005-01-01,"Cloud Security, Cyber Security, Network Security, Security",
Series A - 6clicks,https://www.crunchbase.com/funding_round/6clicks-series-a--1f349287,"Melbourne, Victoria, Australia, Oceania",6clicks,https://www.crunchbase.com/organization/6clicks,Series A,10000000,AUD,6471478,2022-09-26,"Compliance, Cyber Security, Legal Tech, Risk Management, Software",Centerstone Capital
Series A - Sepio,https://www.crunchbase.com/funding_round/sepio-systems-series-a--b9d5b6da,"Rockville, Maryland, United States, North America",Sepio,https://www.crunchbase.com/organization/sepio-systems,Series A,6500000,USD,6500000,2019-11-07,"Asset Management, Cyber Security, Information Technology, InsurTech, Network Security, Risk Management, Software","Hanaco Venture Capital, Merlin Ventures"
Series A - RIIG,https://www.crunchbase.com/funding_round/riig-8f1c-series-a--416d1f71,"Charlottesville, Virginia, United States, North America",RIIG,https://www.crunchbase.com/organization/riig-8f1c,Series A,6500000,USD,6500000,2025-10-13,"Artificial Intelligence (AI), Cyber Security, Data Integration, Information Technology, Risk Management",5IR Funds
Series A - ellipse,https://www.crunchbase.com/funding_round/ellipse-inc-series-a--a523209a,"Culver City, California, United States, North America",ellipse,https://www.crunchbase.com/organization/ellipse-inc,Series A,6500000,USD,6500000,2018-12-21,"Cyber Security, Information Technology, Payments",Upfront Ventures
Series A - Skyhigh Networks,https://www.crunchbase.com/funding_round/skyhigh-networks-series-a--78a546e3,"Campbell, California, United States, North America",Skyhigh Networks,https://www.crunchbase.com/organization/skyhigh-networks,Series A,6500000,USD,6500000,2012-04-09,"Cloud Security, Cyber Security, Enterprise Software",Greylock
Series A - Proofpoint,https://www.crunchbase.com/funding_round/proofpoint-series-a--38b22715,"Sunnyvale, California, United States, North America",Proofpoint,https://www.crunchbase.com/organization/proofpoint,Series A,6500000,USD,6500000,2003-01-02,"Compliance, Cyber Security, Email, Enterprise Software, Information Technology, Network Security, SaaS","Benchmark, Mohr Davidow Ventures"
Series A - Sternum,https://www.crunchbase.com/funding_round/sternum-series-a--2ff7cab2,"Tel Aviv, Tel Aviv, Israel, Asia",Sternum,https://www.crunchbase.com/organization/sternum,Series A,6500000,USD,6500000,2020-09-15,"Cyber Security, Data Visualization, Internet of Things, Software",Square Peg Capital
Series A - Phantom,https://www.crunchbase.com/funding_round/phantom-cyber-series-a--64fccbc4,"Palo Alto, California, United States, North America",Phantom,https://www.crunchbase.com/organization/phantom-cyber,Series A,6500000,USD,6500000,2015-09-28,"Cyber Security, Network Security, Security",TechOperators Venture Capital
Series A - Bitium,https://www.crunchbase.com/funding_round/bitium-series-a--b38f6c28,"Santa Monica, California, United States, North America",Bitium,https://www.crunchbase.com/organization/bitium,Series A,6500000,USD,6500000,2014-03-01,"Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software",Polaris Partners
Series A - IRONSCALES,https://www.crunchbase.com/funding_round/ironscales-series-a--b9d9973b,"Atlanta, Georgia, United States, North America",IRONSCALES,https://www.crunchbase.com/organization/ironscales,Series A,6500000,USD,6500000,2017-12-05,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Information Services, Information Technology, SaaS, Software, Training",K1 Investment Management
Series A - CloudPassage,https://www.crunchbase.com/funding_round/cloudpassage-series-a--1e487970,"San Francisco, California, United States, North America",CloudPassage,https://www.crunchbase.com/organization/cloudpassage,Series A,6500000,USD,6500000,2011-04-27,"Cloud Security, Cyber Security, Data Center, Enterprise Software, Information Technology, Internet, Network Security, Security, Software",Benchmark
Series A - Shadow Networks,https://www.crunchbase.com/funding_round/shadow-networks-series-a--21ec8ee5,"Santa Clara, California, United States, North America",Shadow Networks,https://www.crunchbase.com/organization/shadow-networks,Series A,6500000,USD,6500000,2014-03-24,"Cyber Security, Government, Security",
Series A - ANOZR WAY,https://www.crunchbase.com/funding_round/anozr-way-series-a--4da3d04f,"Cesson-sévigné, Bretagne, France, Europe",ANOZR WAY,https://www.crunchbase.com/organization/anozr-way,Series A,6000000,EUR,6555944,2024-03-12,"Cyber Security, Software",Hi Inov - Dentressangle
Series A - Gospel Technology,https://www.crunchbase.com/funding_round/gospel-technology-series-a--36ade7d3,"London, England, United Kingdom, Europe",Gospel Technology,https://www.crunchbase.com/organization/gospel-technology,Series A,5000000,GBP,6558048,2018-09-24,"Cyber Security, Software","IA Ventures, Salesforce Ventures"
Series A - Cmd,https://www.crunchbase.com/funding_round/cmd-series-a--44a6a2fb,"Vancouver, British Columbia, Canada, North America",Cmd,https://www.crunchbase.com/organization/cmd,Series A,6600000,USD,6600000,2016-01-01,"B2B, Cyber Security, DevOps, Information Technology, Internet, Internet of Things, Linux",Expa
Series A - Bayshore Networks,https://www.crunchbase.com/funding_round/bayshore-networks-series-a--d695d8d9,"Durham, North Carolina, United States, North America",Bayshore Networks,https://www.crunchbase.com/organization/bayshore-networks,Series A,6600000,USD,6600000,2016-05-10,"Cyber Security, Information Technology, Internet of Things",Forgepoint Capital
Series A - Approov,https://www.crunchbase.com/funding_round/criticalblue-5ede-series-a--6b4f8aca,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",Approov,https://www.crunchbase.com/organization/criticalblue-5ede,Series A,5000000,GBP,6648954,2025-08-04,"Cyber Security, Developer APIs, Security, Software",Maven Capital Partners
Series A - xorlab,https://www.crunchbase.com/funding_round/xorlab-series-a--4c17476f,"Zürich, Zurich, Switzerland, Europe",xorlab,https://www.crunchbase.com/organization/xorlab,Series A,6100000,CHF,6654536,2021-10-24,"Cyber Security, Information Technology, Machine Learning, Software",EquityPitcher Ventures
Series A - Enginsight,https://www.crunchbase.com/funding_round/enginsight-series-a--7dce0777,"Jena, Thuringen, Germany, Europe",Enginsight,https://www.crunchbase.com/organization/enginsight,Series A,6000000,EUR,6677789,2024-09-25,"Cyber Security, Information Technology, IT Management, Penetration Testing, Software",UVC Partners
Series A - Blackpanda,https://www.crunchbase.com/funding_round/blackpanda-series-a--6511796f,"Singapore, Central Region, Singapore, Asia",Blackpanda,https://www.crunchbase.com/organization/blackpanda,Series A,6700000,USD,6700000,2024-09-25,"Computer, Cyber Security, Information Technology, InsurTech, Network Security","Gaw Capital Partners, Singtel Innov8"
Series A - Nethone,https://www.crunchbase.com/funding_round/nethone-series-a--ecb8a6c5,"Warsaw, Mazowieckie, Poland, Europe",Nethone,https://www.crunchbase.com/organization/nethone,Series A,6700000,USD,6700000,2021-07-15,"Analytics, Artificial Intelligence (AI), Business Intelligence, Cyber Security, FinTech, Fraud Detection, Machine Learning, Risk Management, SaaS","ARIA Fund, Atmos Ventures"
Series A - HYAS,https://www.crunchbase.com/funding_round/hyas-infosec-series-a--5aad5b54,"Vancouver, British Columbia, Canada, North America",HYAS,https://www.crunchbase.com/organization/hyas-infosec,Series A,6700000,USD,6700000,2018-09-24,"Cyber Security, Fraud Detection, Network Security, Security",M12 - Microsoft's Venture Fund
Series A - Immuta,https://www.crunchbase.com/funding_round/immuta-series-a--29c36474,"Boston, Massachusetts, United States, North America",Immuta,https://www.crunchbase.com/organization/immuta,Series A,6700000,USD,6700000,2017-07-01,"Analytics, Big Data, Cloud Data Services, Cyber Security, Data Governance, Privacy, Security, Software",Drive Capital
Series A - IriusRisk,https://www.crunchbase.com/funding_round/continuum-security-sl-series-a--4ddc918c,"Huesca, Aragon, Spain, Europe",IriusRisk,https://www.crunchbase.com/organization/continuum-security-sl,Series A,6700000,USD,6700000,2020-09-30,"Cyber Security, Enterprise Software, Information Technology, Security, Software",Paladin Capital Group
Series A - CybaVerse,https://www.crunchbase.com/funding_round/north-star-cyber-security-series-a--bcbef6c2,"Portsmouth, Hampshire, United Kingdom, Europe",CybaVerse,https://www.crunchbase.com/organization/north-star-cyber-security,Series A,5000000,GBP,6701631,2025-10-15,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Information Technology, Internet, Network Security, Penetration Testing, SaaS, Security","Airbridge Equity Partners, Pembroke VCT"
Series A - Numeracle,https://www.crunchbase.com/funding_round/numeracle-series-a--4f1ae326,"Mclean, Virginia, United States, North America",Numeracle,https://www.crunchbase.com/organization/numeracle,Series A,6800000,USD,6800000,2023-12-28,"Communications Infrastructure, Cyber Security, Fraud Detection, Identity Management",
Series A - Wallix,https://www.crunchbase.com/funding_round/wallix-series-a--94161992,"Paris, Ile-de-France, France, Europe",Wallix,https://www.crunchbase.com/organization/wallix,Series A,5100000,EUR,6894529,2011-11-15,"Cyber Security, Security, Software",Auriga Partners
Series A - CyberSmart,https://www.crunchbase.com/funding_round/cybersmart-2-series-a--573ab46d,"London, England, United Kingdom, Europe",CyberSmart,https://www.crunchbase.com/organization/cybersmart-2,Series A,5500000,GBP,6913300,2020-07-14,"B2B, Compliance, Cyber Security, InsurTech, Network Security, Risk Management, SaaS",IQ Capital
Series A - Skyone,https://www.crunchbase.com/funding_round/sky-in-one-series-a--e6c49569,"São Paulo, Sao Paulo, Brazil, South America",Skyone,https://www.crunchbase.com/organization/sky-in-one,Series A,22500000,BRL,6968857,2018-01-05,"Cloud Computing, Cyber Security, Data Integration, Information Services, Information Technology, PaaS, SaaS, Software",Invest Tech
Series A - OnSecurity,https://www.crunchbase.com/funding_round/onsecurity-series-a--ba8abbc6,"Bristol, Bristol, United Kingdom, Europe",OnSecurity,https://www.crunchbase.com/organization/onsecurity,Series A,5500000,GBP,6999219,2024-06-10,"Cyber Security, Information Technology, Network Security, Usability Testing",Gresham House Ventures
Series A - Cytix,https://www.crunchbase.com/funding_round/cytix-21e0-series-a--0d957821,"Manchester, Manchester, United Kingdom, Europe",Cytix,https://www.crunchbase.com/organization/cytix-21e0,Series A,7000000,USD,7000000,2026-08-12,"Artificial Intelligence (AI), Cyber Security, Penetration Testing, Software",Northern Gritstone
Series A - Cloudburst Technologies,https://www.crunchbase.com/funding_round/cloudburst-technologies-0a3e-series-a--44857ada,"New York, New York, United States, North America",Cloudburst Technologies,https://www.crunchbase.com/organization/cloudburst-technologies-0a3e,Series A,7000000,USD,7000000,2025-09-23,"Blockchain, Cyber Security, Software",Borderless Capital
Series A - CloudSEK,https://www.crunchbase.com/funding_round/cloudsek-series-a--d16dd3d0,"Singapore, Central Region, Singapore, Asia",CloudSEK,https://www.crunchbase.com/organization/cloudsek,Series A,7000000,USD,7000000,2021-10-08,"Artificial Intelligence (AI), Cyber Security, Machine Learning, SaaS, Security",MassMutual Ventures
Series A - Cyrisma,https://www.crunchbase.com/funding_round/data-spotlite-series-a--0d815059,"Rochester, New York, United States, North America",Cyrisma,https://www.crunchbase.com/organization/data-spotlite,Series A,7000000,USD,7000000,2024-10-09,"Cyber Security, Information Technology, Network Security, Risk Management, SaaS, Software",Blueprint Equity
Series A - Varist,https://www.crunchbase.com/funding_round/varist-series-a--01be6eb1,"Reykjavík, Gullbringusysla, Iceland, Europe",Varist,https://www.crunchbase.com/organization/varist,Series A,7000000,USD,7000000,2024-11-27,"Cyber Security, Embedded Software, Information Services, Information Technology, Software",
Series A - Snyk,https://www.crunchbase.com/funding_round/snyk-series-a--d25fb350,"Boston, Massachusetts, United States, North America",Snyk,https://www.crunchbase.com/organization/snyk,Series A,7000000,USD,7000000,2018-03-06,"Cyber Security, Security, Software","boldstart ventures, Canaan Partners"
Series A - Defectdojo,https://www.crunchbase.com/funding_round/defectdojo-series-a--a66b5b39,"Austin, Texas, United States, North America",Defectdojo,https://www.crunchbase.com/organization/defectdojo,Series A,7000000,USD,7000000,2024-09-25,"Computer, Cyber Security, Network Security",Aspenwood Ventures
Series A - Ledger,https://www.crunchbase.com/funding_round/ledger-2-series-a--ce22cbb5,"Paris, Ile-de-France, France, Europe",Ledger,https://www.crunchbase.com/organization/ledger-2,Series A,7000000,USD,7000000,2017-03-30,"Cryptocurrency, Cyber Security, Infrastructure, SaaS",MAIF Avenir
Series A - Cynet,https://www.crunchbase.com/funding_round/cynet-2-series-a--c7210cb4,"Boston, Massachusetts, United States, North America",Cynet,https://www.crunchbase.com/organization/cynet-2,Series A,7000000,USD,7000000,2016-02-10,"Computer, Cyber Security, Network Security",Ibex Investors
Series A - Pistachio,https://www.crunchbase.com/funding_round/pistachio-c634-series-a--e22acd7f,"Oslo, Oslo, Norway, Europe",Pistachio,https://www.crunchbase.com/organization/pistachio-c634,Series A,7000000,USD,7000000,2025-04-29,"Artificial Intelligence (AI), Corporate Training, Cyber Security, SaaS, Training",Walter Ventures
Series A - Luma,https://www.crunchbase.com/funding_round/luma-2-series-a--debe1f75,"Atlanta, Georgia, United States, North America",Luma,https://www.crunchbase.com/organization/luma-2,Series A,7000000,USD,7000000,2016-09-14,"Cyber Security, Hardware, Internet, Network Security","Andreessen Horowitz, Google Ventures"
